[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] 🔍 Creando población inicial de 20 partículas alrededor de growth=2.500, wacc=0.400
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] ✅ Población inicial creada: 20 partículas
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Usando estrategia forzada: best1bin, mutation=(0.5, 1.5)
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #1: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #2: growth=0.300, wacc=0.500 → error=37.68%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #3: growth=2.000, wacc=1.500 → error=48.63%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #4: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #5: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #6: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #7: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #8: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #9: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #10: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #11: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #12: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #13: growth=1.851, wacc=0.522 → error=31.54%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #14: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #15: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #16: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #17: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #18: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #19: growth=1.463, wacc=0.552 → error=35.29%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #20: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #21: growth=2.000, wacc=1.291 → error=47.48%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #22: growth=1.882, wacc=0.518 → error=31.04%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #23: growth=1.907, wacc=1.500 → error=48.73%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #24: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #25: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #26: growth=1.575, wacc=0.500 → error=31.51%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #27: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #28: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #29: growth=1.374, wacc=0.643 → error=39.38%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #30: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #31: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #32: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #33: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #34: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #35: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #36: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #37: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #38: growth=1.575, wacc=0.541 → error=34.16%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #39: growth=1.914, wacc=0.925 → error=44.03%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #40: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #41: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #42: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #43: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #44: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #45: growth=1.313, wacc=0.567 → error=36.66%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #46: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #47: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #48: growth=2.000, wacc=0.567 → error=33.51%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #49: growth=1.313, wacc=0.567 → error=36.66%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #50: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #51: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #52: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #53: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #54: growth=2.000, wacc=0.567 → error=33.51%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #55: growth=1.313, wacc=0.567 → error=36.66%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #56: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #57: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #58: growth=0.304, wacc=0.674 → error=43.37%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #59: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #60: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #61: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #62: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Entrenamiento completado: Error final=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Parámetros validados: growth_adj=2.000, wacc_adj=0.500
[2025-11-14 03:45:50] INFO     | __main__ | [AUTO_LOOP] NVDA - Ronda 9689 completada:
[2025-11-14 03:45:50] INFO     | __main__ |   Error: 29.01%
[2025-11-14 03:45:50] INFO     | __main__ |   Mejora: -16.81% (-137.9% relativo)
[2025-11-14 03:45:50] WARNING  | __main__ | [AUTO_LOOP] NVDA - ⚠️ Esta ronda empeoró el error (29.01% > 12.19%), manteniendo mejor resultado anterior
[2025-11-14 03:45:50] INFO     | __main__ | [AUTO_LOOP] NVDA - ⚠️ Sin mejora (9689 rondas consecutivas)
[2025-11-14 03:45:50] INFO     | __main__ | 
[AUTO_LOOP] NVDA - Ronda 9690/∞
[2025-11-14 03:45:50] INFO     | __main__ | [AUTO_LOOP] NVDA - Mejor error hasta ahora: 12.19% (objetivo: 10.0%)
[2025-11-14 03:45:50] INFO     | __main__ | [AUTO_LOOP] NVDA - 🔄 Sin mejoras por 9689 rondas, aumentando iteraciones a 750 y cambiando estrategia
[2025-11-14 03:45:50] INFO     | __main__ | ============================================================
[2025-11-14 03:45:50] INFO     | __main__ | ENTRENAMIENTO INDIVIDUAL: NVDA
[2025-11-14 03:45:50] INFO     | __main__ | Objetivo: Error < 10.0%
[2025-11-14 03:45:50] INFO     | __main__ | ============================================================
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Bounds de optimización: growth=[0.3, 2.0], wacc=[0.5, 1.5]
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Iniciando optimización individual...
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Configuración: popsize=20, maxiter=750, strategy='best1bin'
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Valor objetivo Alpha Spread: $156.86
